               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.066135,              0.3072,                   0,             0.93687,             0.84544,             0.91732,             0.58324,            0.056024,             0.29749,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.067797,             0.31378,                   0,             0.92756,             0.84774,             0.91694,             0.57268,             0.05642,             0.29599,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.065911,             0.30266,                   0,             0.92793,              0.8547,               0.918,             0.58006,            0.056196,             0.29486,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.067174,             0.31304,                   0,             0.92914,             0.85767,             0.92195,             0.58233,            0.056033,             0.29324,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.067698,               0.311,                   0,             0.93048,             0.84878,             0.91906,               0.579,             0.05611,             0.29507,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.067584,             0.31406,                   0,             0.93775,             0.85031,             0.91861,             0.58125,            0.056067,             0.29285,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.06624,             0.31035,                   0,              0.9355,             0.84948,             0.92075,             0.58986,            0.055633,             0.29221,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.066386,             0.30505,                   0,             0.93594,             0.85014,             0.91987,             0.58486,            0.055909,             0.29425,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.067515,             0.30567,                   0,             0.92839,             0.84652,              0.9169,             0.58246,            0.056028,             0.29416,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.066389,             0.30675,                   0,             0.93559,             0.85209,             0.91888,              0.5884,             0.05561,             0.29294,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.066939,             0.30904,                   0,             0.93842,             0.84957,             0.92132,             0.58668,            0.055721,             0.29181,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.067067,             0.30832,                   0,             0.93783,             0.85152,             0.92289,             0.59432,            0.055321,             0.29245,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.065208,             0.29271,                   0,             0.93555,             0.85226,             0.91864,             0.57997,            0.055953,             0.29239,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.06554,             0.30479,                   0,             0.93053,             0.85714,             0.92098,             0.58911,            0.055496,             0.29077,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.065917,             0.29942,                   0,             0.93816,             0.85361,             0.92173,             0.59326,            0.055249,             0.29108,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.066455,             0.30017,                   0,             0.93861,             0.84861,             0.92117,              0.5882,            0.055668,             0.29224,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.066263,             0.30842,                   0,              0.9347,             0.85782,             0.92211,             0.58711,            0.055558,             0.29141,                   0,            0.000298,            0.000298,            0.000298
